player,league,team,country
A. Waris,Ligue 1,Strasbourg,France
S. Samed,Ligue 1,Clermont,France
O. Bukari,Ligue 1,Nantes,France
G. Mensah,Ligue 1,Bordeaux,France
E. Ntim,Ligue 2,Valenciennes,France
E. Assifuah,Ligue 2,Pau,France
E. Lomotey,Ligue 2,Amiens SC,France
N. Opoku,Ligue 2,Amiens SC,France
G. Bentil,Ligue 2,Niort,France
C. Boateng,National 1,Avranches,France
E. Danso,National 2,Olympique Lyonnais II,France
E. Quarshie,National 2,GOAL FC,France
K. Osei,National 2,Aubagne,France
G. Bekoé,National 2,Haguenau,France
G. Bentil,National 3,Niort II,France
N. Opoku,National 3,Amiens SC II,France
S. Samed,National 3,Clermont II,France
C. Boateng,National 3,Avranches II,France
H. Jamal,National 3,Bordeaux  II,France
E. Bonsu,National 3,Mantes 78,France
R. Polley,Eredivisie,Heracles,Netherlands
M. Kudus,Eredivisie,Ajax,Netherlands
K. Sowah,Eredivisie,AZ,Netherlands
M. Kudus,Eerste Divisie,Ajax II,Netherlands
R. Bossman,Derde Divisie,JOS Watergraafsmeer,Netherlands
M. Amoah,Hoofdklasse,Halsteren,Netherlands
A. Agbodzie,Superliga,Skënderbeu Korçë,Albania
M. Agbekpornu,Superliga,Egnatia Rrogozhinë,Albania
R. Acquah,Superliga,Teuta Durrës,Albania
R. Dwumfour,Superliga,Skënderbeu Korçë,Albania
A. Mensah,Superliga,Skënderbeu Korçë,Albania
J. Asante,Superliga,Skënderbeu Korçë,Albania
B. Agyare,1st Division,Apolonia Fier,Albania
Tinga Tei,1st Division,Tërbuni Pukë,Albania
D. Lomotey,Ligue 1,ES Sétif,Algeria
J. Esso,Ligue 1,MC Alger,Algeria
K. Opoku,Ligue 1,USM Alger,Algeria
A. Masaudu,Ligue 2,MO Béjaïa,Algeria
D. Quaye,Premier League,Noravank,Armenia
A. Mensah,Premier League,Urartu,Armenia
N. Antwi,Premier League,Urartu,Armenia
R. Gyasi,Premier League,Noah,Armenia
E. Mireku Attah,Premier League,Van,Armenia
S. Obonde,Premier League,Noravank,Armenia
M. Mensah,Capital Terr…,Canberra Croatia,Australia
S. Paintsil,Bundesliga,Hartberg,Austria
A. Boakye,Bundesliga,Wolfsberger AC,Austria
L. Agyekum,Bundesliga,Salzburg,Austria
D. Owusu,2. Liga,Liefering,Austria
L. Agyekum,2. Liga,Liefering,Austria
F. Amankwah,2. Liga,Liefering,Austria
R. Dwamena,2. Liga,Blau-Weiß Linz,Austria
P. Mensah,2. Liga,Blau-Weiß Linz,Austria
A. Boakye,Regionalliga,Wolfsberger AC II,Austria
A. Alhassan,Regionalliga,Wiener Viktoria,Austria
B. Essel,Regionalliga,Mauerwerk,Austria
G. Awuni,Regionalliga,Wels,Austria
F. Adjei,Regionalliga,Pinzgau Saalfelden,Austria
S. Musah,Regionalliga,Lauterach,Austria
T. Adjah,Premier League,Rahmatgonj MFS,Bangladesh
J. Ofori,Premier League,Energetyk-BGU,Belarus
E. Sowah Adjei,First Division A,AS Eupen,Belgium
I. Nuhu,First Division A,AS Eupen,Belgium
M. Ashimeru,First Division A,Anderlecht,Belgium
J. Osabutey,First Division A,Kortrijk,Belgium
D. Atanga,First Division A,KV Oostende,Belgium
I. Asante,First Division A,OH Leuven,Belgium
J. Paintsil,First Division A,Genk,Belgium
D. Opare,First Division A,RFC Seraing,Belgium
N. Ampomah,First Division A,Antwerp,Belgium
A. Okyere,First Division A,Beerschot,Belgium
A. Nurudeen,First Division A,AS Eupen,Belgium
E. Ocansey,First Division B,Waasland-Beveren,Belgium
T. Agyepong,First Division B,Lommel,Belgium
A. Mohammed,First Division B,Lommel,Belgium
K. Nfodjo,Second Amate…,KRC Gent,Belgium
S. Addo,Second Amate…,KRC Gent,Belgium
R. Manu,Second Amate…,Zelzate,Belgium
E. Annor,Second Amate…,Zelzate,Belgium
E. Nyarko,Second Amate…,Zelzate,Belgium
A. Yakubu,Championnat …,ASPAC,Benin
D. Akologo,Primera División,Aurora,Bolivia
J. Amoah,Premijer Liga,Rudar Prijedor,Bosnia and Herzegovina
P. Boafo,Super League,Indera,Brunei Darussalam
S. Abbey,Super League,Kasuka,Brunei Darussalam
B. Kwarema,First League,CSKA Sofia,Bulgaria
B. Tekpetey,First League,Ludogorets,Bulgaria
E. Toku,First League,Botev Plovdiv,Bulgaria
C. Ohene,First League,CSKA 1948 Sofia,Bulgaria
B. Tekpetey,Second League,Ludogorets II,Bulgaria
I. Fofana,Ligue 1,ASFA-Yennenga,Burkina Faso
N. Polo,Ligue 1,Salitas,Burkina Faso
H. Sodogo,Ligue 1,Salitas,Burkina Faso
E. Kane,Ligue 1,Salitas,Burkina Faso
R. Opoku,Ligue 1,ASFA-Yennenga,Burkina Faso
J. Amate,Ligue 1,ASFA-Yennenga,Burkina Faso
L. Owusu,MLS,Vancouver Whitecaps,Canada
R. Ohin,Canadian Pre…,Valour,Canada
G. Owusu,League 1 Ontario,Master’s Futbol Academy,Canada
F. Acheampong,CSL,Shenzhen,China PR
M. Wakaso,CSL,Shenzhen,China PR
E. Boateng,CSL,Dalian Pro,China PR
E. Agyemang-Badu,CSL,Qingdao FC,China PR
E. Etti,China League One,Heilongjiang Ice City,China PR
I. Amoah,Ligue 1,TP Mazembe,Congo DR
A. Najeeb,Ligue 1,TP Mazembe,Congo DR
M. Gariba,Ligue 1,San-Pédro,Côte d'Ivoire
